GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jaloquent,com.github.ezframework.jaloquent.relation,Relation,0,9,0,0,0,4,0,1,0,1
Jaloquent,com.github.ezframework.jaloquent.relation,BelongsToMany,27,253,4,14,3,58,6,21,2,16
Jaloquent,com.github.ezframework.jaloquent.relation,HasMany,8,32,0,0,2,8,1,5,1,5
Jaloquent,com.github.ezframework.jaloquent.relation,BelongsTo,0,24,0,2,0,8,0,4,0,3
Jaloquent,com.github.ezframework.jaloquent.relation,HasOne,8,40,0,2,2,8,1,5,1,4
Jaloquent,com.github.ezframework.jaloquent.repository,AbstractRepository,79,129,15,13,17,35,12,12,0,10
Jaloquent,com.github.ezframework.jaloquent.exception,JaloquentException,13,0,0,0,6,0,3,0,3,0
Jaloquent,com.github.ezframework.jaloquent.exception,ModelNotFoundException,45,0,10,0,15,0,9,0,4,0
Jaloquent,com.github.ezframework.jaloquent.exception,StorageException,53,0,10,0,18,0,10,0,5,0
Jaloquent,com.github.ezframework.jaloquent.exception,ValidationException,45,0,10,0,15,0,9,0,4,0
Jaloquent,com.github.ezframework.jaloquent.model,Fillable,0,114,1,19,0,25,1,16,0,7
Jaloquent,com.github.ezframework.jaloquent.model,Model,45,402,13,53,12,99,14,48,1,28
Jaloquent,com.github.ezframework.jaloquent.model,ModelRepository,199,735,47,75,39,187,40,36,0,15
Jaloquent,com.github.ezframework.jaloquent.model,BaseModel,0,26,0,4,0,9,0,6,0,4
Jaloquent,com.github.ezframework.jaloquent.model,PivotModel,1,32,2,2,1,11,2,5,0,5
Jaloquent,com.github.ezframework.jaloquent.model,TableRegistry.TableMeta,0,16,0,0,0,6,0,3,0,3
Jaloquent,com.github.ezframework.jaloquent.model,TableRegistry,0,26,0,0,0,5,0,4,0,4
Jaloquent,com.github.ezframework.jaloquent.config,JaloquentConfig,25,24,4,4,12,9,10,4,6,4
